Gasolina 93,Gasolina 97,Kerosene,Diesel,GLP,"Fuel Oil
N° 6",
Fecha,US$/m3,US$/m3,US$/m3,US$/m3,US$/ton,US$/tm
01-ago-19,"516,75","551,59","579,73","525,86","379,44","404,1"
25-jul-19,"536,08","569,98","585,62","531,02","383,72","421,93"
18-jul-19,"544,12","579,49","590,1","534,58","381,02","440,21"
11-jul-19,"529,62","564,66","591,72","535,99","376,45","439,17"
04-jul-19,"505,36","537,75","581,79","525,92","374,66","415,17"
27-jun-19,"485,05","517,1","563,8","507,85","369,08","394,16"
20-jun-19,"483,91","514,01","555,83","501,6","372,38","393,61"
13-jun-19,"503,02","528,03","572,47","518,54","402,21","409,59"
06-jun-19,527,"547,51","604,24","551,25","446,71","425,5"
30-may-19,"537,96","558,45","623,04","568,98","466,82","436,27"
23-may-19,"542,56","562,78","626,51","572,67","471,24","447,13"
16-may-19,"553,05","577,07","625,45","569,91","469,69","457,91"
09-may-19,"570,3","598,1","629,47","573,29","485,62","470,59"
02-may-19,"572,52","600,36","628,93","573,79","490,81","468,29"
25-abr-19,"572,59","599,79","635,24","568,96","498,49","464,81"
18-abr-19,"565,99","594,41","622,01","562,86","496,56","464,4"
11-abr-19,"550,33","585,93","610,35","552,39","493,51","454,21"
04-abr-19,"544,21","585,31","606,2","549,54","503,35","447,83"
28-mar-19,"545,58","589,75","605,52","546,32","509,65","452,38"
21-mar-19,"525,31","566,62","613,85","546,14","517,83","458,8"
14-mar-19,"506,94","538,75","624,8","551,38","508,97","462,61"
07-mar-19,"501,7","524,88","630,13","554,95","515,3","469,27"
28-feb-19,"487,44","513,56","623,55","544,79","506,76","469,23"
21-feb-19,"462,19","494,57","609,26","527,39","488,68","457,68"
14-feb-19,"444,22","479,34","603,46","520,7","494,44","445,78"
07-feb-19,"438,77","473,53","605,13","520,32","503,25","434,08"
31-ene-19,"442,12","475,1","608,05","516,63","503,36","421,29"
24-ene-19,"435,56","463,72","601,64","509,88","487,86","414,21"
17-ene-19,"425,27","448,46","579,4","494,24","476,38","398,24"
10-ene-19,"410,5",431,"544,21","466,28","470,82","374,87"
03-ene-19,"416,55","437,12","552,8","473,1","475,87","379,76"
27-dic-18,"441,99","464,53","575,74","495,91","511,91","390,89"
20-dic-18,"462,97","490,71","591,17","514,17","534,29",404
13-dic-18,"463,02","489,87","588,89","517,34","534,18","406,51"
06-dic-18,"466,53","493,86","600,3","529,6","536,79","415,58"
29-nov.-18,"491,77","527,93","637,11","568,17","554,74","445,36"
22-nov.-18,"508,16","539,75","660,35","590,66","564,13","464,42"
15-nov.-18,"540,02","567,77","672,62","613,07","589,44","486,03"
08-nov.-18,"566,41","595,82","683,81","626,5","611,28","496,46"
01-nov.-18,"582,58","612,49","692,94","634,75","644,01","497,32"
25-oct.-18,"602,7","637,23","703,83","645,57","688,2","494,76"
18-oct.-18,"626,95","663,14","712,2","654,61","713,55","494,21"
11-oct.-18,"632,77","663,36","703,2","646,75","725,73","488,04"
04-oct.-18,"611,89","639,11","680,97","623,64","725,11","472,12"
27-sept.-18,"598,24","628,55","669,88","610,58","728,62","462,92"
20-sept.-18,"591,83","620,23","667,04","608,89","726,16","458,93"
13-sept.-18,"589,73","607,8","663,07","609,43","712,97","459,42"
06-sept.-18,"589,42","605,34","655,1","600,53","693,34","453,41"
30-ago-18,"579,83","595,73","639,7","582,7","672,19","439,33"
23-ago-18,"576,57","594,59","633,44","580,08","672,16","439,88"
16-ago-18,"582,2","604,79","633,08","582,93","674,67","448,34"
09-ago-18,"585,49","611,22","633,51","584,08","669,06","458,43"
02-ago-18,"573,63","598,76","625,89","576,89","648,44","459,38"
26-jul-18,"572,79","596,8","627,38","578,92","646,25","463,31"
19-jul-18,"583,65","606,97","638,38","590,54","666,76","476,16"
12-jul-18,"578,29","600,86",638,"589,38","647,16","473,55"
05-jul-18,"565,73","594,06","631,73","581,01","617,88","456,36"
28-jun-18,"563,99","598,88","633,63","580,59","626,78","444,5"
21-jun-18,"571,49","604,89","641,54","587,11","635,63","445,33"
14-jun-18,578,"607,18","649,79","592,85","646,84","447,2"
07-jun-18,"595,73","622,72","673,59","607,95","661,31","458,78"
31-may-18,"604,39","631,38","685,13","616,8","659,39","468,88"
24-may-18,"595,94","619,85","681,55","612,37","654,41","456,84"
17-may-18,"583,47","605,47","670,27","596,62","642,79","435,52"
10-may-18,"579,52","606,45","661,44","584,98","638,86","422,55"
03-may-18,"574,4","601,89","651,63","576,33","614,56","410,75"
26-abr-18,"561,88","586,54","639,68","566,91","600,7","402,18"
19-abr-18,"545,24","574,94","625,89","552,24","582,26","392,14"
12-abr-18,"539,57","572,44","620,19","543,54","582,08","386,31"
05-abr-18,"542,25","573,68","622,3","540,22","589,82","388,61"
29-mar-18,"539,16","561,67","611,7","523,82","647,68","385,76"
22-mar-18,"523,72","538,82","604,44","513,09","628,45","381,49"
15-mar-18,"531,1","555,42","611,63","518,57","644,68","381,27"
08-mar-18,"537,37","566,74","617,75","524,04","676,88","383,62"
01-mar-18,"528,23","554,66","609,64","513,7","648,6","380,17"
22-feb-18,"538,18","567,1","610,67","514,17","620,14","376,04"
15-feb-18,"565,35","598,94","635,79","538,19","609,88","386,26"
08-feb-18,"582,49","612,6","657,29","555,56","620,58","395,13"
01-feb-18,"580,96","608,11","662,16","554,8","635,11","397,21"
25-ene-18,"568,13","595,24","654,2","548,18","652,81","398,1"
18-ene-18,"554,41","582,67","646,04","546,43","656,42","400,24"
11-ene-18,"542,7","573,24","633,93","542,91","673,53","403,54"
04-ene-18,"532,72","555,52","612,93","527,06","669,64","402,62"
28-dic-17,"529,17","546,74","592,37","515,55","657,92","392,29"
21-dic-17,"522,76","543,01","584,42","509,19","664,87","388,5"
14-dic-17,"533,71","553,3","584,76","508,68","682,26","388,81"
07-dic-17,"540,11","557,98","587,05","513,14","685,87","388,1"
30-nov.-17,"535,67","555,2","575,18","512,92","683,54","384,35"
23-nov.-17,"551,76",574,"569,3","513,93","673,67","391,15"
16-nov.-17,"561,72","587,33","563,17","509,29","667,43","388,88"
09-nov.-17,"544,41","584,26","547,71","494,98","665,27","368,14"
02-nov.-17,"517,65","553,57","532,18","484,66","653,07","354,37"
26-oct.-17,"495,63","514,61","523,96","477,27","652,73","347,64"
19-oct.-17,"489,5",508,"524,03","473,97","649,12","340,63"
12-oct.-17,"500,27","529,29","535,57","482,84","653,18","341,88"
