id_;Ciiu_cl;GlosaCiiu;Factor
40237;49230;Transporte de carga por carretera;1,873287497
40238;49230;Transporte de carga por carretera;143,4597164
40239;49230;Transporte de carga por carretera;143,4597164
40240;49230;Transporte de carga por carretera;28,73028786
40241;49230;Transporte de carga por carretera;28,73028786
40242;49230;Transporte de carga por carretera;143,4597164
40243;49230;Transporte de carga por carretera;1,873287497
40244;49230;Transporte de carga por carretera;143,4597164
40245;49230;Transporte de carga por carretera;1,873287497
40246;49230;Transporte de carga por carretera;1,873287497
40247;49230;Transporte de carga por carretera;1,873287497
40248;49230;Transporte de carga por carretera;1,873287497
40249;49230;Transporte de carga por carretera;28,73028786
40250;49230;Transporte de carga por carretera;28,73028786
40251;49230;Transporte de carga por carretera;1
40252;49230;Transporte de carga por carretera;1,873287497
40253;49230;Transporte de carga por carretera;1,873287497
40254;49230;Transporte de carga por carretera;1,873287497
40255;49230;Transporte de carga por carretera;1,873287497
40256;49230;Transporte de carga por carretera;1,873287497
40257;49230;Transporte de carga por carretera;28,73028786
40258;49230;Transporte de carga por carretera;143,4597164
40259;49230;Transporte de carga por carretera;1
40260;49230;Transporte de carga por carretera;143,4597164
40261;49230;Transporte de carga por carretera;1,873287497
40262;49230;Transporte de carga por carretera;1,873287497
40263;49230;Transporte de carga por carretera;1,873287497
40264;49230;Transporte de carga por carretera;1,873287497
40265;49230;Transporte de carga por carretera;143,4597164
40266;49230;Transporte de carga por carretera;1,873287497
40267;49230;Transporte de carga por carretera;143,4597164
40268;49230;Transporte de carga por carretera;143,4597164
40269;49230;Transporte de carga por carretera;1,873287497
40270;49230;Transporte de carga por carretera;1,873287497
40271;49230;Transporte de carga por carretera;1,873287497
40272;49230;Transporte de carga por carretera;1,873287497
40273;49230;Transporte de carga por carretera;143,4597164
40274;49230;Transporte de carga por carretera;143,4597164
40275;49230;Transporte de carga por carretera;1
40276;49230;Transporte de carga por carretera;143,4597164
40277;49230;Transporte de carga por carretera;28,73028786
40278;49230;Transporte de carga por carretera;28,73028786
40279;49230;Transporte de carga por carretera;1,873287497
40280;49230;Transporte de carga por carretera;1,873287497
40281;49230;Transporte de carga por carretera;28,73028786
40282;49230;Transporte de carga por carretera;1,873287497
40283;49230;Transporte de carga por carretera;1,873287497
40284;49230;Transporte de carga por carretera;1,873287497
40285;49230;Transporte de carga por carretera;1,873287497
40286;49230;Transporte de carga por carretera;28,73028786
40287;49230;Transporte de carga por carretera;1,873287497
40288;49230;Transporte de carga por carretera;28,73028786
40289;49230;Transporte de carga por carretera;28,73028786
40290;49230;Transporte de carga por carretera;143,4597164
40291;49230;Transporte de carga por carretera;143,4597164
40292;49230;Transporte de carga por carretera;1,873287497
40293;49230;Transporte de carga por carretera;143,4597164
40294;49230;Transporte de carga por carretera;1,873287497
40295;49230;Transporte de carga por carretera;1,873287497
40296;49230;Transporte de carga por carretera;143,4597164
40297;49230;Transporte de carga por carretera;1,873287497
40298;49230;Transporte de carga por carretera;143,4597164
40299;49230;Transporte de carga por carretera;1
40300;49230;Transporte de carga por carretera;1
40301;49230;Transporte de carga por carretera;1,873287497
40302;49230;Transporte de carga por carretera;1,873287497
40303;49230;Transporte de carga por carretera;143,4597164
40304;49230;Transporte de carga por carretera;1,873287497
40305;49230;Transporte de carga por carretera;143,4597164
40306;49230;Transporte de carga por carretera;1,873287497
40307;49230;Transporte de carga por carretera;28,73028786
40308;49230;Transporte de carga por carretera;1,873287497
40309;49230;Transporte de carga por carretera;1,873287497
40310;49230;Transporte de carga por carretera;1,873287497
40311;49230;Transporte de carga por carretera;143,4597164
40312;49230;Transporte de carga por carretera;143,4597164
40313;49230;Transporte de carga por carretera;1,873287497
40314;49230;Transporte de carga por carretera;1,873287497
40315;49230;Transporte de carga por carretera;1,873287497
40316;49230;Transporte de carga por carretera;28,73028786
40317;49230;Transporte de carga por carretera;1,873287497
40318;49230;Transporte de carga por carretera;1,873287497
40319;49230;Transporte de carga por carretera;1,873287497
40320;49230;Transporte de carga por carretera;1,873287497
40321;49230;Transporte de carga por carretera;143,4597164
40322;49230;Transporte de carga por carretera;28,73028786
40323;49230;Transporte de carga por carretera;143,4597164
40324;49230;Transporte de carga por carretera;1,873287497
40325;49230;Transporte de carga por carretera;1,873287497
40326;49230;Transporte de carga por carretera;1,873287497
40327;49230;Transporte de carga por carretera;28,73028786
40328;49230;Transporte de carga por carretera;1,873287497
40329;49230;Transporte de carga por carretera;1,873287497
40330;49230;Transporte de carga por carretera;1,873287497
40331;49230;Transporte de carga por carretera;143,4597164
40332;49230;Transporte de carga por carretera;143,4597164
40333;49230;Transporte de carga por carretera;143,4597164
40334;49230;Transporte de carga por carretera;1,873287497
40335;49230;Transporte de carga por carretera;1,873287497
40336;49230;Transporte de carga por carretera;1,873287497
40337;49230;Transporte de carga por carretera;1,873287497
40338;49230;Transporte de carga por carretera;1,873287497
40339;49230;Transporte de carga por carretera;143,4597164
40340;49230;Transporte de carga por carretera;1,873287497
40341;49230;Transporte de carga por carretera;1,873287497
40342;49230;Transporte de carga por carretera;143,4597164
40343;49230;Transporte de carga por carretera;143,4597164
40344;49230;Transporte de carga por carretera;1,873287497
40345;49230;Transporte de carga por carretera;143,4597164
40346;49230;Transporte de carga por carretera;1,873287497
40347;49230;Transporte de carga por carretera;28,73028786
40348;49230;Transporte de carga por carretera;28,73028786
40349;49230;Transporte de carga por carretera;1,873287497
40350;49230;Transporte de carga por carretera;1,873287497
40351;49230;Transporte de carga por carretera;1,873287497
40352;49230;Transporte de carga por carretera;1,873287497
40353;49230;Transporte de carga por carretera;1,873287497
40354;49230;Transporte de carga por carretera;28,73028786
40355;49230;Transporte de carga por carretera;1,873287497
40356;49230;Transporte de carga por carretera;143,4597164
40357;49230;Transporte de carga por carretera;1,873287497
40358;49230;Transporte de carga por carretera;1
40359;49230;Transporte de carga por carretera;1,873287497
40360;49230;Transporte de carga por carretera;1
40361;49230;Transporte de carga por carretera;143,4597164
40362;49230;Transporte de carga por carretera;1
40363;49230;Transporte de carga por carretera;1,873287497
40364;49230;Transporte de carga por carretera;1,873287497
40365;49230;Transporte de carga por carretera;1,873287497
40366;49230;Transporte de carga por carretera;28,73028786
40367;49230;Transporte de carga por carretera;1,873287497
40368;49230;Transporte de carga por carretera;1,873287497
40369;49230;Transporte de carga por carretera;28,73028786
40370;49230;Transporte de carga por carretera;1,873287497
40371;49230;Transporte de carga por carretera;1,873287497
40372;49230;Transporte de carga por carretera;28,73028786
40373;49230;Transporte de carga por carretera;143,4597164
40374;49230;Transporte de carga por carretera;1,873287497
40375;49230;Transporte de carga por carretera;1,873287497
40376;49230;Transporte de carga por carretera;143,4597164
40377;49230;Transporte de carga por carretera;1,873287497
40378;49230;Transporte de carga por carretera;1,873287497
40379;49230;Transporte de carga por carretera;1,873287497
40380;49230;Transporte de carga por carretera;1,873287497
40381;49230;Transporte de carga por carretera;1,873287497
40382;49230;Transporte de carga por carretera;1,873287497
40383;49230;Transporte de carga por carretera;1,873287497
40384;49230;Transporte de carga por carretera;143,4597164
40385;49230;Transporte de carga por carretera;1,873287497
40386;49230;Transporte de carga por carretera;143,4597164
40387;49230;Transporte de carga por carretera;1,873287497
40388;49230;Transporte de carga por carretera;1,873287497
40389;49230;Transporte de carga por carretera;1,873287497
40390;49230;Transporte de carga por carretera;143,4597164
40391;49230;Transporte de carga por carretera;143,4597164
40392;49230;Transporte de carga por carretera;1,873287497
40393;49230;Transporte de carga por carretera;1,873287497
40394;49230;Transporte de carga por carretera;143,4597164
40395;49230;Transporte de carga por carretera;1,873287497
