"id","name","tipo","total"
345,"F OIL HU712/7X CHEV","Anticongelante",12
346,"F OIL W920/82","Anticongelante",5
347,"F OIL CHEVROLET CAMARO 6.2 10-","Anticongelante",22
348,"F OIL FORD ESCAPE 3.0 W92","Anticongelante",9
349,"F AIRE PEUGEOT CITROEN C.3 1.4","Ampolletas",5
350,"F AIRE PEUGEOT","Ampolletas",13
351,"F AIRE HYUNDAI I-10","Ampolletas",8
352,"F AIREPEUGEOT 607 2.0","Ampolletas",2
353,"F AIRE PEUGEOT 2008 1.6 16V 2009","Ampolletas",1
354,"F AIRE VW AMAROK","Ampolletas",4
355,"KIA MORNING 1.2","Ampolletas",3
356,"F AIRE CITROEN C5 2.0","Ampolletas",2
357,"KIA MORNING 1.2 2001","Ampolletas",8
358,"F AIRE NISSAN PATHFINDER 2.5 2006","Ampolletas",3
359,"F POLEN HYUNDAI 1.1 2008","Bobinas",13
360,"F POLEN VW","Bobinas",6
361,"F POLEN 200XD I SSANGYONG ACTYON","Bobinas",5
362,"F OIL MG3 1.5 12 W713/","Anticongelante",6
363,"F FUEL NISSAN NAVARA 2.5 WK9","Baterias",10
364,"F FUEL SSANGYONG ACTYON","Baterias",7
365,"F POLEN PEUGEOT 3008","Bobinas",2
366,"F POLEN NISSAN X-TRAIL","Bobinas",3
367,"F OIL 93745801 HU714/5 HYUNDAI","Anticongelante",5
368,"F AIRE GM CHEVROLET CRUZE","Ampolletas",7
369,"F AIRE CHERY ARRIZO 5 1.5 20","Ampolletas",2
370,"F FUEL PETROLEO VW TIGUAN 2.0 20","Baterias",2
371,"F AIRE NSSAN KICKS 1.6 2016","Ampolletas",5
372,"F POLEN SUZUKI DZIRE 1.2 201 2016","Bobinas",5
373,"F POLEN SUZIKI SWIFT 1.2 201","Bobinas",4
374,"F AIRE SUZUKI ALTO K10","Ampolletas",5
375,"F AIRE HYUNDAI SANTA FE 2. 2 CRDI/KIA SORENTO 2.2 CRDI 2011-2014","Ampolletas",6
376,"F AIRE HYUNDAI KIA","Ampolletas",8
377,"F FUEL ELEMENTO ACEITE TOYOTA RAV 4 2,400 CC 2013-2014","Baterias",18
378,"F OIL SSANG YOUNG ACTION SPORT 2.0 DIESEL 2007-2014","Anticongelante",12
379,"F FUEL MITSUBISHI . FUSO CANTER 6.5 E/7.5T HLUX","Baterias",7
380,"F AIRE FORD HILUT","Ampolletas",3
381,"F AIRE NISSAN MARCH 1.6 2013","Ampolletas",14
382,"F AIRE SUZUKI SWIFT 1.4 K14","Ampolletas",10
383,"F FUEL NISSAN NAVARA PFF50216","Baterias",7
384,"F OIL HK HU7008Z AMAROK","Anticongelante",11
385,"F OIL HK HU822/5X","Anticongelante",6
386,"F AIRE CHERRY TIGGO","Ampolletas",1
387,"F FUEL PU-9001X CHEVROLET","Baterias",17
388,"F AIRE TOYOTA.OLD NEW YARIS 1.5","Ampolletas",3
389,"F AIRE CHEVROLET TRACKER 1.8 13/15","Ampolletas",3
390,"F AIRE CHERY FUL WIN 1.5","Ampolletas",1
391,"F AIRE KIA RIO 3/KIA RIO 4","Ampolletas",9
392,"F AIRE HYUNDAI/KIA SORENTO 2.2 DREJES","Ampolletas",1
393,"F AIRE HYUNDAI STA FE","Ampolletas",4
394,"F POLEN HYUNDAI KIA SONATA 2.0","Bobinas",7
395,"F AIRE MERCEDEZ DITO","Ampolletas",3
396,"F FUEL COMBUSTIBLE NISSAN NAVARA 2.5","Baterias",4
397,"F FUEL PETROLEO 1906E6 PEUGEOT 301 HD","Baterias",13
398,"F FUEL COMBUSTIBLE CITROEN NEMO 1.3 HDI","Baterias",11
399,"F AIRE FIAT CITY NEMO CITRON","Ampolletas",27
400,"F AIRE TOYOTA","Ampolletas",2
401,"F AIRE RENAULT MEGANE III 2.0 GASOLINA","Ampolletas",1
402,"F AIRE SSANGYONG ACTYON 2.0 DIESEL 2013","Ampolletas",7
403,"SSANGYOUNG ACTION 2.0","Ampolletas",7
404,"F OIL HU718/1X MER","Anticongelante",9
405,"F OIL HU724/5 HYUNDAI V","Anticongelante",10
406,"F AIRE GREAT WALL H0","Ampolletas",1
407,"F AIRE MAHINDRA XU","Ampolletas",7
408,"F POLEN CHEVROLET","Bobinas",3
409,"F OIL CITROEN","Anticongelante",62
410,"F OIL ISUZU","Anticongelante",21
411,"F AIRE PEUGEOT","Ampolletas",3
412,"F OIL HYUNDAI","Anticongelante",5
413,"F AIRE RENAULT","Ampolletas",4
414,"F AIRE VW","Ampolletas",3
415,"F POLEN CHEVROLET SAIL 1.4 2011-2016","Bobinas",6
416,"F POLEN CHEVOLET ORLANDO","Bobinas",2
417,"F AIRE NEW TOYOTA HILUX 2.4 2.8 DIESEL","Ampolletas",10
418,"F AIRE TOYOTA H 3.0","Ampolletas",23
419,"F AIRE NISSAN","Ampolletas",1
420,"F OIL NISSAN NP-300 YS HU618X RENAULT","Anticongelante",2
421,"F POLEN TOYOTA HILOX 2.4/2.8","Bobinas",12
422,"F AIRE MITSUBISHI L-200 2.4 NUEVA","Ampolletas",16
423,"F FUEL P.BOXER 2.2 HDI WK85","Baterias",5
424,"F FUEL WK-920/1 KIA FORD","Baterias",13
425,"F FUEL PETR HK NISSAN WK932/80","Baterias",6
426,"F FUEL DECANT. HK NISSA WK 850/1","Baterias",5
427,"F POLEN FIAT","Bobinas",6
428,"FILTRO AIRE POLEN PEUGEOT","Ampolletas",4
429,"F POLEN","Bobinas",3
430,"F POLEN PSA CITROEN BERLINGO 1.6","Bobinas",2
431,"F FUEL FILTRO ACEITE MAZDA","Baterias",10
432,"F AIRE GM CHEVROLET SAIL NUEVO","Ampolletas",10
433,"F AIRE HYUNDAI GRAND I10 C-3","Ampolletas",6
434,"F AIRE HYUNDAI","Ampolletas",8
435,"F AIRE MAZDA","Ampolletas",3
436,"F AIRE SUZUKI","Ampolletas",1
437,"F AIRE M BENZ","Ampolletas",3
438,"F AIRE HINO","Ampolletas",1
439,"F AIRE HINO","Ampolletas",7
440,"F AIRE RENO","Ampolletas",13
441,"F AIRE SUZUKI","Ampolletas",6
442,"F AIRE CITROEN PEUGEOT 2008 1.4(2014-2016)","Ampolletas",1
443,"F AIRE HYUNDAI","Ampolletas",11
444,"F FUEL OPEL","Baterias",6
445,"F FUEL COMBUSTIBLE","Baterias",2
446,"F OIL FUEL MAZDA PETROLEO","Anticongelante",10
447,"F FUEL HYUNDAI H-1 WK824/1","Baterias",2
448,"F FUEL PEUGEOT","Baterias",3
449,"F AIRE MAZDA CX-5 2.0/2.5 20","Ampolletas",6
450,"F OIL HINO XZU413/423 W1135/11","Anticongelante",13
451,"F OIL HINO FB4J W1250/1","Anticongelante",6
452,"F OIL ME088532","Anticongelante",2
453,"F OIL NISSAN NP-300 YS HU618X RENAULT","Anticongelante",5
454,"F POLEN CU 3540 M BENZ","Bobinas",3
455,"F POLEN MAZDA BT50 3.2/ FORD","Bobinas",7
456,"F AIRE MAHINDRA 2018","Ampolletas",8
